Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Jim	14:53 6/3/2016	125
Tom	14:56 6/3/2016	141
Tom	15:8 6/3/2016	117
Jim	15:8 6/3/2016	131
Jim	15:9 6/3/2016	137
Lana	15:9 6/3/2016	162
TomH	15:9 6/3/2016	109
Tom	15:9 6/3/2016	177
TomH	15:9 6/3/2016	136
Jim	15:10 6/3/2016	158
Lana	15:10 6/3/2016	113
Tom	15:10 6/3/2016	156
TomH	15:10 6/3/2016	164
Jim	15:10 6/3/2016	135
Jim	12:1 7/1/2016	105
Lana	12:1 7/1/2016	149
