Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
TomH	16:15 6/3/2016	133
Mike	16:19 6/3/2016	138
Jim	16:31 6/3/2016	114
Tom	16:31 6/3/2016	166
Jim	16:31 6/3/2016	172
Tom	16:31 6/3/2016	147
Mike	16:32 6/3/2016	114
Mike	16:35 6/3/2016	133
Mike	16:37 6/3/2016	113
Tom	16:37 6/3/2016	95
Mike	16:38 6/3/2016	108
Tom	16:38 6/3/2016	201
Mike	17:14 6/6/2016	116
Mike	17:14 6/6/2016	152
Mike	11:43 7/1/2016	169
Mike	11:43 7/1/2016	137
Tom	11:59 7/1/2016	150
Tom	12:0 7/1/2016	136
