Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
TomH	16:15 6/3/2016	133
Mike	16:19 6/3/2016	138
Jim	19:41 6/3/2016	166
Tom	19:41 6/3/2016	163
Jim	19:41 6/3/2016	103
Tom	19:41 6/3/2016	104
Jim	19:42 6/3/2016	125
Tom	19:42 6/3/2016	149
Lana	19:49 6/3/2016	132
Mike	19:49 6/3/2016	137
Lana	19:49 6/3/2016	140
Mike	19:49 6/3/2016	124
Lana	19:51 6/3/2016	136
Mike	19:51 6/3/2016	126
Mike	19:52 6/3/2016	118
Jim	19:52 6/3/2016	121
Mike	19:59 6/3/2016	102
Tom	15:35 6/4/2016	97
Jim	15:36 6/4/2016	128
Mike	11:26 7/1/2016	144
Jim	11:33 7/1/2016	127
Jim	11:33 7/1/2016	197
Mike	11:36 7/1/2016	148
Mike	11:37 7/1/2016	123
Tom	11:37 7/1/2016	151
Lana	11:37 7/1/2016	166
TomH	11:37 7/1/2016	125
Mike	11:54 7/1/2016	160
Mike	11:55 7/1/2016	122
Mike	11:56 7/1/2016	134
Mike	11:57 7/1/2016	119
Mike	11:57 7/1/2016	179
Jim	12:4 7/1/2016	95
Jim	12:10 7/1/2016	143
Jim	12:12 7/1/2016	100
Jim	12:12 7/1/2016	90
Jim	12:18 7/1/2016	117
Jim	12:19 7/1/2016	153
Mike	12:21 7/1/2016	125
Mike	12:22 7/1/2016	133
Mike	12:25 7/1/2016	100
Mike	12:27 7/1/2016	101
Jim	21:2 7/1/2016	120
Tom	21:2 7/1/2016	130
Tom	21:7 7/1/2016	132
TomH	21:7 7/1/2016	116
Jim	21:7 7/1/2016	117
Tom	21:14 7/1/2016	120
TomH	21:14 7/1/2016	126
Jim	21:14 7/1/2016	131
Jim	21:20 7/1/2016	152
Tom	21:21 7/1/2016	111
TomH	21:21 7/1/2016	174
Jim	21:22 7/1/2016	142
Tom	21:23 7/1/2016	125
TomH	21:23 7/1/2016	123
Lana	21:44 7/1/2016	99
Jim	21:44 7/1/2016	141
Lana	21:44 7/1/2016	180
Tom	21:44 7/1/2016	154
TomH	21:50 7/1/2016	128
Mike	21:50 7/1/2016	132
Jim	21:50 7/1/2016	137
Jim	21:50 7/1/2016	143
Tom	21:50 7/1/2016	177
TomH	21:50 7/1/2016	125
Jim	21:53 7/1/2016	99
Jim	21:54 7/1/2016	169
Mike	21:54 7/1/2016	83
Jim	21:54 7/1/2016	118
Jim	21:54 7/1/2016	117
Mike	21:54 7/1/2016	134
Jim	21:54 7/1/2016	133
Jim	21:54 7/1/2016	157
Mike	21:54 7/1/2016	152
Jim	21:57 7/1/2016	97
Mike	22:47 7/1/2016	133
Mike	22:47 7/1/2016	151
Mike	22:49 7/1/2016	132
Jim	22:49 7/1/2016	162
Tom	22:49 7/1/2016	118
Lana	22:49 7/1/2016	146
TomH	22:49 7/1/2016	112
Lana	0:5 7/2/2016	0
Mike	0:19 7/2/2016	0
Tom	0:38 7/2/2016	0
Tom	0:41 7/2/2016	0
Tom	0:42 7/2/2016	0
Tom	0:42 7/2/2016	0
Lana	0:43 7/2/2016	0
Mike	0:48 7/2/2016	20
Tom	0:50 7/2/2016	0
Tom	0:50 7/2/2016	0
Tom	0:54 7/2/2016	0
TomH	0:55 7/2/2016	17
TomH	0:55 7/2/2016	17
TomH	0:56 7/2/2016	17
Tom	1:1 7/2/2016	0
Tom	1:1 7/2/2016	0
Tom	1:2 7/2/2016	0
Tom	1:4 7/2/2016	0
Jim	1:5 7/2/2016	0
Jim	1:5 7/2/2016	0
Jim	1:6 7/2/2016	0
Jim	1:6 7/2/2016	10
Jim	1:7 7/2/2016	0
Jim	1:8 7/2/2016	0
Jim	1:25 7/2/2016	36
Tom	1:26 7/2/2016	0
TomH	1:29 7/2/2016	0
Jim	1:32 7/2/2016	10
Tom	1:34 7/2/2016	2
Tom	1:34 7/2/2016	6
Mike	1:39 7/2/2016	5
Mike	1:41 7/2/2016	8
Mike	1:41 7/2/2016	9
Mike	1:42 7/2/2016	5
Tom	1:42 7/2/2016	8
Jim	1:43 7/2/2016	7
TomH	1:43 7/2/2016	3
Tom	1:44 7/2/2016	4
Tom	1:48 7/2/2016	9
Tom	1:56 7/2/2016	147
Lana	1:58 7/2/2016	103
Mike	1:58 7/2/2016	123
Jim	1:58 7/2/2016	124
Tom	1:58 7/2/2016	148
Jim	1:59 7/2/2016	137
Lana	1:59 7/2/2016	127
Mike	1:59 7/2/2016	120
Jim	1:59 7/2/2016	151
Jim	2:0 7/2/2016	189
Lana	2:0 7/2/2016	139
Mike	2:0 7/2/2016	143
Jim	2:0 7/2/2016	149
TomH	2:1 7/2/2016	109
