Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
TomH	16:15 6/3/2016	133
Mike	16:19 6/3/2016	138
Jim	19:41 6/3/2016	166
Tom	19:41 6/3/2016	163
Jim	19:41 6/3/2016	103
Tom	19:41 6/3/2016	104
Jim	19:42 6/3/2016	125
Tom	19:42 6/3/2016	149
Lana	19:49 6/3/2016	132
Mike	19:49 6/3/2016	137
Lana	19:49 6/3/2016	140
Mike	19:49 6/3/2016	124
Lana	19:51 6/3/2016	136
Mike	19:51 6/3/2016	126
Mike	19:52 6/3/2016	118
Jim	19:52 6/3/2016	121
Mike	19:59 6/3/2016	102
Tom	15:35 6/4/2016	97
Jim	15:36 6/4/2016	128
Mike	11:26 7/1/2016	144
Jim	11:33 7/1/2016	127
Jim	11:33 7/1/2016	197
Mike	11:36 7/1/2016	148
Mike	11:37 7/1/2016	123
Tom	11:37 7/1/2016	151
Lana	11:37 7/1/2016	166
TomH	11:37 7/1/2016	125
Mike	11:54 7/1/2016	160
Mike	11:55 7/1/2016	122
Mike	11:56 7/1/2016	134
Mike	11:57 7/1/2016	119
Mike	11:57 7/1/2016	179
Jim	12:4 7/1/2016	95
Jim	12:10 7/1/2016	143
Jim	12:12 7/1/2016	100
Jim	12:12 7/1/2016	90
Jim	12:18 7/1/2016	117
Jim	12:19 7/1/2016	153
Mike	12:21 7/1/2016	125
Mike	12:22 7/1/2016	133
Mike	12:25 7/1/2016	100
Mike	12:27 7/1/2016	101
