Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
TomH	16:15 6/3/2016	133
Mike	16:19 6/3/2016	138
Jim	19:41 6/3/2016	166
Tom	19:41 6/3/2016	163
Jim	19:41 6/3/2016	103
Tom	19:41 6/3/2016	104
Jim	19:42 6/3/2016	125
Tom	19:42 6/3/2016	149
Lana	19:49 6/3/2016	132
Mike	19:49 6/3/2016	137
Lana	19:49 6/3/2016	140
Mike	19:49 6/3/2016	124
Lana	19:51 6/3/2016	136
Mike	19:51 6/3/2016	126
Mike	19:52 6/3/2016	118
Jim	19:52 6/3/2016	121
Mike	19:59 6/3/2016	102
